MAP per-sim diagnostics  —  results/diag_map_12000_ul_pw.jld2
  --------------------------------------------------------------------------------
  sim       lp_step1    lp_final    Δloglike    Δlogprior   CG_mean   CG_res     status
  --------------------------------------------------------------------------------
  1         5965438.72  6229561.95   269038.06    -4914.83      20.5    5.3e-04  ok (data↑ prior↓)
  2         5972786.61  6225352.48   257024.80    -4458.93      20.0    7.7e-04  ok (data↑ prior↓)
  3         5970593.56  6219740.73   253180.44    -4033.26      18.8    5.8e-04  ok (data↑ prior↓)
  4         5956832.01  6193913.73   239923.94    -2842.21      19.7    4.1e-04  ok (data↑ prior↓)
  5         5967406.57  6231021.53   268626.10    -5011.15      19.2    9.4e-04  ok (data↑ prior↓)
  6         5956125.58  6221343.84   269439.92    -4221.66      19.2    4.1e-04  ok (data↑ prior↓)
  7         5958982.47  6224337.92   269678.04    -4322.59      19.6    6.6e-04  ok (data↑ prior↓)
  8         5964285.44  6218481.67   258100.86    -3904.63      19.2    6.0e-04  ok (data↑ prior↓)
  9         5967222.72  6230048.08   267714.56    -4889.20      20.1    5.9e-04  ok (data↑ prior↓)
  10        5959726.01  6230914.60   276248.63    -5060.03      19.4    9.9e-04  ok (data↑ prior↓)
  11        5970897.28  6225684.95   259277.37    -4489.70      19.6    8.1e-04  ok (data↑ prior↓)
  12        5972807.34  6230813.96   263034.51    -5027.88      19.6    3.8e-04  ok (data↑ prior↓)
  13        5966951.85  6225432.54   262987.81    -4507.12      20.7    4.7e-04  ok (data↑ prior↓)
  14        5960424.72  6226416.73   270598.16    -4606.15      19.5    5.2e-04  ok (data↑ prior↓)
  15        5967873.09  6224087.06   260646.07    -4432.10      19.1    6.1e-04  ok (data↑ prior↓)
  16        5973143.17  6225688.04   257025.86    -4480.99      19.1    7.3e-04  ok (data↑ prior↓)
  17        5968726.66  6227970.96   263907.85    -4663.55      20.6    5.2e-04  ok (data↑ prior↓)
  18        5976510.12  6228761.51   256991.48    -4740.08      19.4    4.7e-04  ok (data↑ prior↓)
  19        5956219.30  6219781.47   267672.06    -4109.89      18.9    3.7e-04  ok (data↑ prior↓)
  20        5961440.61  6212127.75   254305.93    -3618.79      19.2    4.5e-04  ok (data↑ prior↓)
  21        5962780.17  6224312.61   265915.08    -4382.64      19.3    3.6e-04  ok (data↑ prior↓)
  22        5960139.61  6226024.73   270443.42    -4558.30      19.5    4.2e-04  ok (data↑ prior↓)
  23        5965412.33  6218792.16   257348.07    -3968.24      18.4    9.3e-04  ok (data↑ prior↓)
  24        5970734.45  6224717.99   258385.45    -4401.91      20.1    8.6e-04  ok (data↑ prior↓)
  25        5962803.06  6225323.74   267063.00    -4542.32      19.4    4.1e-04  ok (data↑ prior↓)
  26        5958854.08  6219917.27   265138.68    -4075.48      19.9    9.8e-04  ok (data↑ prior↓)
  27        5963344.16  6222403.20   263310.19    -4251.15      18.8    7.3e-04  ok (data↑ prior↓)
  28        5980229.74  6228140.20   252653.29    -4742.83      19.2    8.3e-04  ok (data↑ prior↓)
  29        5960752.63  -100074918430810025110272729091132174209201162001799763732220612845071168785572665119029220088575295489197677625160699461560250195684332744474624.00  -100074918430810025110272729091132174209201162001799763732220612845071168785572665119029220088575295489197677625160699461560250195684332744474624.00    -6778.11     440.9    2.0e+82  ⚠ likelihood↓
  30        5972731.00  6229142.05   261222.09    -4811.03      19.9    9.5e-04  ok (data↑ prior↓)
  31        5971087.62  6225874.13   259283.40    -4496.89      19.5    4.2e-04  ok (data↑ prior↓)
  32        5963797.24  6227421.31   268364.78    -4740.70      19.9    5.6e-04  ok (data↑ prior↓)
  33        5968956.35  6227883.48   263669.10    -4741.97      19.6    8.4e-04  ok (data↑ prior↓)
  34        5972360.35  6229401.92   261885.81    -4844.24      19.9    4.8e-04  ok (data↑ prior↓)
  35        5973950.38  6226224.10   256770.74    -4497.03      18.8    5.6e-04  ok (data↑ prior↓)
  36        5968030.56  6222716.70   258996.65    -4310.51      21.6    5.9e-04  ok (data↑ prior↓)
  37        5969390.72  6228387.45   263825.20    -4828.47      19.9    5.9e-04  ok (data↑ prior↓)
  38        5959619.48  6224077.72   268846.57    -4388.32      20.1    4.8e-04  ok (data↑ prior↓)
  39        5970929.27  6225980.71   259573.16    -4521.72      19.5    5.7e-04  ok (data↑ prior↓)
  41        5964643.61  6229227.14   269432.45    -4848.92      19.4    4.2e-04  ok (data↑ prior↓)
  42        5968229.79  6213011.28   248349.00    -3567.51      18.9    4.9e-04  ok (data↑ prior↓)
  43        5974765.73  6226353.30   256215.82    -4628.25      19.6    4.3e-04  ok (data↑ prior↓)
  44        5976889.55  6229860.80   257787.82    -4816.58      19.1    4.8e-04  ok (data↑ prior↓)
  45        5965152.48  6224249.51   263547.97    -4450.94      20.4    5.6e-04  ok (data↑ prior↓)
  46        5973593.02  6230265.93   261664.56    -4991.66      19.8    5.4e-04  ok (data↑ prior↓)
  47        5966129.17  6231325.85   270283.38    -5086.71      19.4    9.4e-04  ok (data↑ prior↓)
  48        5958453.08  6227589.27   273813.77    -4677.58      19.4    6.5e-04  ok (data↑ prior↓)
  49        5970534.25  6228256.84   262444.57    -4721.98      19.1    8.7e-04  ok (data↑ prior↓)
  50        5962988.75  6228541.17   270316.28    -4763.86      20.8    7.1e-04  ok (data↑ prior↓)
  51        5960768.63  6228932.40   272905.86    -4742.09      22.2    7.5e-04  ok (data↑ prior↓)
  52        5971249.83  6226232.13   259573.33    -4591.03      19.6    3.9e-04  ok (data↑ prior↓)
  53        5961753.62  6212620.03   254489.18    -3622.78      20.0    4.3e-04  ok (data↑ prior↓)
  54        5968740.56  6226994.65   262909.30    -4655.21      19.1    6.7e-04  ok (data↑ prior↓)
  55        5969868.64  6229634.14   264680.63    -4915.13      20.6    4.0e-04  ok (data↑ prior↓)
  56        5968185.86  6223782.54   259927.25    -4330.56      19.3    8.9e-04  ok (data↑ prior↓)
  57        5969612.92  6227396.55   262451.80    -4668.18      19.1    4.0e-04  ok (data↑ prior↓)
  58        5960110.57  6208714.09   252002.45    -3398.93      21.2    7.0e-04  ok (data↑ prior↓)
  59        5966663.89  6228894.80   267075.86    -4844.94      19.5    4.5e-04  ok (data↑ prior↓)
  60        5959200.90  6221451.83   266457.89    -4206.96      19.9    9.1e-04  ok (data↑ prior↓)
  61        5972330.77  6224535.85   256655.06    -4449.98      19.3    7.3e-04  ok (data↑ prior↓)
  62        5967736.27  6227724.63   264698.81    -4710.45      20.3    7.9e-04  ok (data↑ prior↓)
  63        5967919.14  6217533.48   253559.95    -3945.61      19.0    6.0e-04  ok (data↑ prior↓)
  64        5968508.91  6225399.40   261375.17    -4484.68      20.9    9.0e-04  ok (data↑ prior↓)
  65        5968241.91  6229208.22   265792.30    -4825.99      19.3    4.1e-04  ok (data↑ prior↓)
  66        5964012.90  6229036.56   269868.13    -4844.47      19.3    6.3e-04  ok (data↑ prior↓)
  67        5966928.71  6224164.63   261595.39    -4359.47      19.1    3.7e-04  ok (data↑ prior↓)
  68        5977257.64  6230367.59   258082.57    -4972.63      18.8    7.5e-04  ok (data↑ prior↓)
  69        5968911.37  6226594.18   262318.96    -4636.15      19.6    9.7e-04  ok (data↑ prior↓)
  70        5975055.35  6228741.70   258516.00    -4829.65      19.6    4.2e-04  ok (data↑ prior↓)
  71        5960489.79  6227277.56   271483.40    -4695.63      19.1    3.8e-04  ok (data↑ prior↓)
  72        5969753.82  6221021.32   255386.75    -4119.25      18.3    5.0e-04  ok (data↑ prior↓)
  73        5970033.42  6231447.29   266456.47    -5042.60      20.0    4.7e-04  ok (data↑ prior↓)
  74        5956329.83  6223179.79   271260.49    -4410.52      19.5    5.5e-04  ok (data↑ prior↓)
  75        5964717.01  6227501.17   267569.68    -4785.53      20.9    8.0e-04  ok (data↑ prior↓)
  76        5966424.14  6223776.54   261735.49    -4383.09      20.1    6.1e-04  ok (data↑ prior↓)
  77        5963677.48  6228868.63   270070.07    -4878.92      20.1    4.8e-04  ok (data↑ prior↓)
  78        5969156.77  6224652.39   259983.72    -4488.10      19.4    5.0e-04  ok (data↑ prior↓)
  79        5963649.18  6230627.11   271891.68    -4913.75      20.1    6.1e-04  ok (data↑ prior↓)
  80        5969602.21  6230852.47   266290.03    -5039.77      19.4    4.1e-04  ok (data↑ prior↓)
  81        5966414.92  6225984.24   264078.98    -4509.66      19.1    3.8e-04  ok (data↑ prior↓)
  82        5972036.60  6225433.95   257890.05    -4492.71      19.9    9.9e-04  ok (data↑ prior↓)
  83        5966171.85  6226392.26   264819.15    -4598.74      19.6    5.2e-04  ok (data↑ prior↓)
  84        5965171.67  6225556.84   264926.07    -4540.89      19.8    4.4e-04  ok (data↑ prior↓)
  85        5964811.67  6223490.47   262957.87    -4279.07      18.7    8.6e-04  ok (data↑ prior↓)
  86        5969237.88  6229045.80   264678.88    -4870.96      19.9    8.6e-04  ok (data↑ prior↓)
  87        5967704.16  6228376.39   265439.83    -4767.59      19.2    5.4e-04  ok (data↑ prior↓)
  88        5973729.25  6231105.52   262323.82    -4947.55      19.4    4.2e-04  ok (data↑ prior↓)
  89        5970703.97  6228467.02   262543.38    -4780.33      19.6    8.0e-04  ok (data↑ prior↓)
  90        5959087.91  6221639.96   266742.27    -4190.22      19.8    5.1e-04  ok (data↑ prior↓)
  91        5966544.52  6229364.51   267681.15    -4861.16      19.0    5.8e-04  ok (data↑ prior↓)
  92        5963257.78  6215642.14   256193.17    -3808.80      18.8    6.0e-04  ok (data↑ prior↓)
  93        5963099.09  6125545.81   163579.62    -1132.91      20.6    5.9e-04  ok (data↑ prior↓)
  94        5967406.22  6225797.32   262877.31    -4486.21      19.2    4.5e-04  ok (data↑ prior↓)
  95        5961531.63  6227230.40   270337.38    -4638.61      20.0    5.4e-04  ok (data↑ prior↓)
  96        5958273.16  6228337.90   274853.36    -4788.62      20.7    5.2e-04  ok (data↑ prior↓)
  97        5958655.54  6226018.23   271990.55    -4627.87      21.2    9.4e-04  ok (data↑ prior↓)
  98        5974042.84  6225742.82   256129.82    -4429.83      19.1    7.4e-04  ok (data↑ prior↓)
  99        5961924.26  6224807.13   267359.15    -4476.28      19.4    6.8e-04  ok (data↑ prior↓)
  100       5966283.53  6230920.70   269601.54    -4964.37      19.3    3.9e-04  ok (data↑ prior↓)
  --------------------------------------------------------------------------------
